LifeStage,ESU,MA,Stratum,CohoGrpID,PopGrp,SiteID,ReachID,Segment,ID_Num,COMID,Reach,Start,End_,Tribof,JuvYr,Juv/km,status,STRM_ORDER,StrmSlope,MaxGradD,WidthM,OUT_DIST,CLASS_Rank,StrmPow,MAnnSed,Barriers,SolMean,MWMT_Index,W3Dppt,SprPpt,IP_COHO,UTM_E,UTM_N
rear,OC,1-NC,North Coast,1,Necanicum,1845,26220,1,1845,23871209,"Necanicum R, S Fk",Mouth,Brandis Cr,Necanicum R,2001,382,Snorkeled,5,0.018410889,0.09268,15.95800018,20.9009991,1,1368.237061,1025498,2,1620.948608,16.0093708,82.08000183,527.1400146,0.174195402,434319,5083287
rear,OC,1-NC,North Coast,1,Necanicum,1845,26220,1,1845,23871209,"Necanicum R, S Fk",Mouth,Brandis Cr,Necanicum R,2010,447,Snorkeled,5,0.018410889,0.09268,15.95800018,20.9009991,1,1368.237061,1025498,2,1620.948608,16.6227169,116.8899994,693.7199707,0.174195402,434319,5083287
rear,OC,1-NC,North Coast,1,Necanicum,1846,26221,1,1846,23871281,Brandis Cr,Mouth,Headwaters,"Necanicum R, S Fk",2001,16,Snorkeled,3,0.077875771,0.09268,5.254000187,22.1420002,1,1469.886963,1025498,2,942.4771729,14.68913651,82.08000183,527.1400146,0.174195402,433808,5082359
rear,OC,1-NC,North Coast,1,Necanicum,1857,26225,1,1857,23871175,Necanicum R,Lindsley Cr,Alder Cr,Pacific Ocean,2004,546,Snorkeled,6,0.00750569,0.09268,23.60000038,23.3309994,1,1269.182007,1025498,2,1529.347656,20.48254967,225.9600067,382.230011,0.174195402,436514,5084115
rear,OC,1-NC,North Coast,1,Necanicum,20616,26229,1,20616,23871177,Necanicum R,"Necanicum R, N Fk",Wolf Cr,Pacific Ocean,2010,256,Snorkeled,6,0.00835304,0.09268,20.75200081,24.8889999,1,3097.124023,698935.5,3,1437.858154,18.1089077,150.8099976,756.3699951,0.944143,437690,5083753
rear,OC,1-NC,North Coast,1,Necanicum,1877,26236,1,1877,23871271,Charlie Cr,Mouth,Headwaters,Necanicum R,2003,10,Snorkeled,3,0.051313508,0.09268,4.556000233,28.6660004,1,480.052002,698935.5,2,1222.66333,18.25754738,263.6099854,473.1400146,0.643731,440644,5084394
rear,OC,1-NC,North Coast,1,Necanicum,1884,26240,1,1884,23871291,Bergsvik Cr,Joe Cr,Little Joe Cr,Necanicum R,2001,524,Snorkeled,4,0.02239215,0.09268,8.31799984,29.8869991,1,194.9629974,698935.5,5,1315.503174,16.58407211,86.59999847,522.9199829,0.933662,441307,5082635
rear,OC,1-NC,North Coast,1,Necanicum,1884,26240,1,1884,23871291,Bergsvik Cr,Joe Cr,Little Joe Cr,Necanicum R,2004,351,Snorkeled,4,0.02239215,0.09268,8.31799984,29.8869991,1,194.9629974,698935.5,5,1315.503174,19.68593788,198.1399994,345.3800049,0.933662,441307,5082635
rear,OC,1-NC,North Coast,1,Necanicum,1884,26240,1,1884,23871291,Bergsvik Cr,Joe Cr,Little Joe Cr,Necanicum R,2007,494,Snorkeled,4,0.02239215,0.09268,8.31799984,29.8869991,1,194.9629974,698935.5,5,1315.503174,19.41991043,167.9100037,268.5499878,0.933662,441307,5082635
rear,OC,1-NC,North Coast,1,Necanicum,1884,26240,1,1884,23871291,Bergsvik Cr,Joe Cr,Little Joe Cr,Necanicum R,2010,445,Snorkeled,4,0.02239215,0.09268,8.31799984,29.8869991,1,194.9629974,698935.5,5,1315.503174,17.22253418,128.8000031,675.2299805,0.933662,441307,5082635
rear,OC,1-NC,North Coast,1,Necanicum,1884,26240,1,1884,23871291,Bergsvik Cr,Joe Cr,Little Joe Cr,Necanicum R,2013,561,Snorkeled,4,0.02239215,0.09268,8.31799984,29.8869991,1,194.9629974,698935.5,5,1315.503174,18.30792236,151,602.1199951,0.933662,441307,5082635
rear,OC,1-NC,North Coast,1,Necanicum,1887,26241,1,1887,23871287,Little Joe Cr,Mouth,"Little Joe Cr, Trib A",Bergsvik Cr,2001,88,Snorkeled,3,0.060856629,0.095629998,5.843999863,31.3040009,1,1246.32605,698935.5,4,1235.604248,15.2505064,104.1600037,586.460022,0.135748,440946,5081464
rear,OC,1-NC,North Coast,1,Necanicum,1887,26241,1,1887,23871287,Little Joe Cr,Mouth,"Little Joe Cr, Trib A",Bergsvik Cr,2004,227,Snorkeled,3,0.060856629,0.095629998,5.843999863,31.3040009,1,1246.32605,698935.5,4,1235.604248,18.16160393,225.9600067,382.230011,0.135748,440946,5081464
rear,OC,1-NC,North Coast,1,Necanicum,1887,26241,1,1887,23871287,Little Joe Cr,Mouth,"Little Joe Cr, Trib A",Bergsvik Cr,2013,179,Snorkeled,3,0.060856629,0.095629998,5.843999863,31.3040009,1,1246.32605,698935.5,4,1235.604248,16.94109917,164.6000061,700.3400269,0.135748,440946,5081464
rear,OC,1-NC,North Coast,1,Necanicum,1896,26245.69922,1,1896,23871187,Necanicum R,"Necanicum R, Trib D",Headwaters,Pacific Ocean,2000,325,Snorkeled,4,0.03172601,0.100850001,9.574999809,32.1749992,1,276.6390076,698935.5,2,1268.996948,16.10299492,265.7900085,428.9400024,0.556469,443602,5084483
rear,OC,1-NC,North Coast,2,Nehalem,942,0,0,942,23872283,,,,,1998,2,Snorkeled,4,0.00329542,0.116219997,7.260000229,21.9060001,1,592.1229858,1696875,3,1613.672363,21.77383041,144.4799957,237.5299988,0.2678125,435694,5070608
