"","x"
"1",1790
"2",1797
"3",1796
"4",1805
"5",1810
"6",16043
"7",1814
"8",17746
"9",21257
"10",1816
"11",18091
"12",1815
"13",1820
"14",1819
"15",18542
"16",1824
"17",22557
"18",1827
"19",21096
"20",1829
"21",17204
"22",21000
"23",1834
"24",1833
"25",1832
"26",1838
"27",1839
"28",1842
"29",1844
"30",1845
"31",1846
"32",16687
"33",20413
"34",1850
"35",16857
"36",1854
"37",17497
"38",18554
"39",17906
"40",19135
"41",17332
"42",18602
"43",1862
"44",1863
"45",1866
"46",19183
"47",1869
"48",1872
"49",17070
"50",18466
"51",1875
"52",16635
"53",1877
"54",20370
"55",1881
"56",1882
"57",1884
"58",1887
"59",22734
"60",16719
"61",1891
"62",16250
"63",17268
"64",0
"65",1890
"66",21172
"67",19491
"68",1892
"69",1893
"70",1896
"71",17947
"72",890
"73",17013
"74",895
"75",22558
"76",17361
"77",21015
"78",906
"79",910
"80",917
"81",916
"82",922
"83",926
"84",927
"85",928
"86",931
"87",933
"88",21962
"89",936
"90",955
"91",20226
"92",959
"93",961
"94",16607
"95",968
"96",21978
"97",971
"98",975
"99",21397
"100",980
"101",978
"102",21803
"103",988
"104",991
"105",996
"106",1009
"107",21406
"108",1006
"109",1004
"110",1012
"111",1017
"112",1022
"113",1023
"114",16612
"115",20801
"116",1033
"117",1035
"118",1037
"119",21377
"120",1041
"121",1044
"122",1048
"123",1052
"124",1061
"125",1066
"126",1068
"127",1076
"128",21981
"129",1074
"130",1083
"131",21003
"132",1089
"133",1090
"134",1092
"135",1100
"136",1101
"137",1115
"138",16040
"139",1123
"140",1122
"141",1145
"142",1148
"143",1151
"144",1155
"145",16403
"146",17729
"147",21796
"148",1169
"149",1167
"150",1166
"151",16227
"152",1170
"153",20826
"154",1176
"155",1181
"156",22178
"157",1183
"158",1185
"159",1189
"160",16039
"161",1194
"162",1196
"163",1206
"164",21186
"165",20862
"166",1216
"167",1218
"168",1221
"169",1226
"170",1228
"171",16231
"172",73
"173",22550
"174",1234
"175",1238
"176",1240
"177",1243
"178",1247
"179",22546
"180",1249
"181",1252
"182",1255
"183",18142
"184",20810
"185",1266
"186",1262
"187",1269
"188",21023
"189",1270
"190",1271
"191",1276
"192",1274
"193",1278
"194",1279
"195",1287
"196",21012
"197",1297
"198",20814
"199",1295
"200",1335
"201",1302
"202",22154
"203",1312
"204",1310
"205",1317
"206",1316
"207",1314
"208",22345
"209",1334
"210",22566
"211",1345
"212",1339
"213",16027
"214",1340
"215",21982
"216",20230
"217",1356
"218",22182
"219",1360
"220",72
"221",1373
"222",20854
"223",1378
"224",1380
"225",1383
"226",1382
"227",1385
"228",1397
"229",1395
"230",21404
"231",1391
"232",1389
"233",17378
"234",1404
"235",1410
"236",1411
"237",1408
"238",1406
"239",1418
"240",1413
"241",21957
"242",1422
"243",1420
"244",1426
"245",1425
"246",1428
"247",85
"248",22572
"249",20229
"250",1439
"251",22371
"252",17767
"253",1451
"254",1442
"255",21792
"256",1455
"257",1458
"258",1460
"259",1462
"260",22181
"261",1466
"262",1464
"263",1470
"264",1469
"265",1475
"266",1474
"267",1480
"268",1476
"269",1482
"270",1488
"271",20245
"272",1504
"273",21388
"274",1502
"275",1510
"276",21585
"277",1517
"278",16992
"279",1524
"280",1520
"281",1527
"282",21953
"283",1531
"284",1536
"285",22177
"286",21036
"287",1549
"288",1553
"289",1560
"290",1569
"291",1571
"292",1568
"293",1579
"294",22150
"295",1585
"296",1587
"297",1588
"298",1592
"299",1598
"300",1597
"301",1596
"302",20640
"303",1601
"304",1605
"305",1607
"306",1609
"307",1606
"308",1612
"309",1616
"310",1617
"311",17782
"312",16220
"313",1629
"314",1635
"315",1640
"316",1639
"317",1642
"318",1647
"319",1649
"320",1652
"321",1658
"322",1667
"323",1666
"324",1663
"325",1677
"326",21788
"327",1678
"328",1679
"329",1681
"330",1680
"331",1683
"332",105012
"333",22145
"334",20864
"335",1689
"336",1691
"337",17731
"338",18169
"339",1698
"340",1704
"341",1705
"342",1711
"343",1712
"344",1710
"345",1714
"346",21977
"347",1719
"348",1725
"349",1724
"350",1723
"351",1726
"352",1729
"353",1735
"354",1739
"355",1734
"356",1737
"357",1747
"358",16978
"359",1752
"360",446
"361",445
"362",449
"363",17807
"364",456
"365",453
"366",16098
"367",459
"368",451
"369",462
"370",21062
"371",464
"372",22628
"373",469
"374",16820
"375",22032
"376",465
"377",471
"378",478
"379",17391
"380",20449
"381",22356
"382",16278
"383",21030
"384",22060
"385",22408
"386",16585
"387",502
"388",17803
"389",513
"390",515
"391",519
"392",518
"393",21769
"394",530
"395",17400
"396",16293
"397",540
"398",543
"399",544
"400",545
"401",550
"402",553
"403",552
"404",16097
"405",558
"406",563
"407",569
"408",16229
"409",577
"410",22395
"411",578
"412",580
"413",16017
"414",584
"415",588
"416",590
"417",585
"418",17756
"419",597
"420",16305
"421",608
"422",605
"423",604
"424",22187
"425",612
"426",20852
"427",22427
"428",624
"429",625
"430",17930
"431",632
"432",17839
"433",637
"434",20533
"435",655
"436",16069
"437",660
"438",670
"439",20808
"440",669
"441",668
"442",664
"443",663
"444",21588
"445",672
"446",677
"447",12
"448",22361
