,STRM_ORDER,LifeStage,dens,yr,PopGrp,ID_Num,UTM_E,UTM_N,WidthM,W3Dppt,MWMT_Index,StrmPow,SprPpt,IP_COHO,SolMean,StrmSlope,OUT_DIST,Panel,UTM_E_km,UTM_N_km,fYr,fSTRM_ORDER,est,2020 Temporal,2020 Survey,2021 Temporal,2021 Survey,,est_non_rf,est_rf,omega_s,epsilon_st
1,5,rear,1,1998,Nehalem,1033,434578,5057700,0.985327551,0.908587885,0.001810581,-0.449202412,-0.085361385,-0.003425614,-0.006738659,-0.775800641,-0.896572765,annual,434.578,5057.7,1998,5,4.929973288,138.3758159,136.3391181,136.9106506,134.8041371,,3.577114201,1.352859087,2.19164151,-0.838782423
2,4,rear,102,1998,Nehalem,1295,456360,5091119,0.53911617,1.790233455,-0.397685432,0.836554438,0.161127163,1.243862724,-0.197392312,0.244675587,-0.029239647,annual,456.36,5091.119,1998,4,5.12952333,168.9365718,167.788171,169.5895166,168.2621486,,3.587121161,1.542402169,2.285348881,-0.742946712
3,3,rear,0,1998,Nehalem,1616,466177,5068762,-0.560476163,0.306488471,-2.155467891,0.518846692,-0.484842824,-1.072529904,-0.35754138,0.244675587,1.205909157,annual,466.177,5068.762,1998,3,4.153229667,63.6392022,63.6217144,63.35853311,63.38307054,,3.106984564,1.046245103,1.784230692,-0.737985588
4,4,rear,120,1998,Tillamook Bay,545,457270,5022363,0.316010479,1.919254758,-0.197937425,0.077112097,0.042132692,-0.359793711,-0.517690449,-0.435641898,-0.393495827,annual,457.27,5022.363,1998,4,5.822713905,337.8878059,344.2651876,348.2108552,353.6768202,,3.506390569,2.316323336,3.195513539,-0.879190203
5,5,rear,0,1998,Tillamook Bay,664,461130,5044083,0.937519189,1.188134041,-0.717282243,1.141823961,0.033633086,-1.117075916,-1.162099795,-0.095483156,-0.416039369,annual,461.13,5044.083,1998,5,5.021501789,151.6388624,134.6480124,153.2565937,134.6944887,,3.253035878,1.768465911,2.59145792,-0.822992009
6,4,rear,211,1998,Tillamook Bay,715,459674,5048143,0.268202117,1.037609188,-0.91703025,-0.093113865,-0.05986257,-0.404339723,-0.63208264,1.265151814,-0.397055333,annual,459.674,5048.143,1998,4,4.859691702,128.9844303,122.0275584,131.1253682,123.4838971,,2.929881492,1.929810209,2.744665346,-0.814855136
7,4,rear,19,1998,Siletz,3597,439896,4957274,0.236329875,-0.14508609,-0.717282243,-0.30314214,-0.459344009,0.976586651,0.130531971,0.924993072,-0.155008882,annual,439.896,4957.274,1998,4,5.799546422,330.1497772,329.0894495,335.6982635,333.7857125,,3.398426777,2.401119644,3.314826143,-0.913706498
8,5,rear,66,1998,Yaquina,3336,445412,4933430,0.459435566,-0.919213908,1.280197824,-0.58957664,-0.433845194,-0.181609663,0.492773912,-0.775800641,-0.284337623,annual,445.412,4933.43,1998,5,5.461831815,235.5284741,231.568182,244.1349488,239.4992559,,3.672320485,1.789511331,2.677606403,-0.888095072
9,2,rear,12,1998,Yaquina,3390,442396,4943036,-0.895134699,-0.876206807,0.84075221,-0.620494508,-0.51034164,-0.938891868,-0.1707008,0.924993072,-0.382817307,annual,442.396,4943.036,1998,2,2.835374508,17.03677952,17.63404763,16.34104222,17.05929975,,1.261839961,1.573534548,2.477463978,-0.90392943
10,5,rear,23,1998,Alsea,3074,434462,4903628,1.128752638,-0.725681954,1.360097027,-0.715025001,-0.280852302,0.130212422,1.270640815,-1.115959383,-0.438582911,annual,434.462,4903.628,1998,5,5.633983676,279.7744312,265.5989281,290.1430246,276.319145,,3.806944528,1.827039147,2.662975946,-0.835936799
