TARGET_FID,ORIG_SEQ,len_km,StartXUTM,EndXUTM,StartYUTM,EndYUTM,MidXUTM,MidYUTM,POPULATION,SPAWNMILES,NTOSORDER,STRATA,ACRES,HECTARES,TYPE,Shape_Leng,Shape_Length
1,1,0.025287376,412720.3265,412695.3625,4727940.739,4727943.735,412707.88,4727943.327,Coquille,277.9,52,Mid-South Coast,676794.848,273890.2533,Functionally Independent,965425.0388,25.28741564
2,2,0.974279306,412695.3625,411964.1309,4727943.735,4727511.266,412358.908,4727688.09,Coquille,277.9,52,Mid-South Coast,676794.848,273890.2533,Functionally Independent,965425.0388,974.2793206
3,3,0.929236344,411964.1309,411198.9759,4727511.266,4727298.702,411655.6363,4727340.233,Coquille,277.9,52,Mid-South Coast,676794.848,273890.2533,Functionally Independent,965425.0388,929.2363854
4,4,0.070325055,478741.7219,478725.7124,4730427.828,4730495.878,478736.2991,4730462.503,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,70.32509314
5,6,0.622907896,478648.3537,478504.8661,4731405.235,4731989.932,478590.5074,4731700.593,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,622.907868
6,5,0.999493531,478725.7124,478648.3537,4730495.878,4731405.235,478658.8713,4730951.019,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,999.4934857
7,7,0.376615826,413049.0866,413084.6417,4728681.75,4728391.571,413112.4336,4728579.006,Coquille,277.9,52,Mid-South Coast,676794.848,273890.2533,Functionally Independent,965425.0388,376.6158707
8,8,0.686601758,413084.6417,412695.3625,4728391.571,4727943.735,412831.6661,4728174.717,Coquille,277.9,52,Mid-South Coast,676794.848,273890.2533,Functionally Independent,965425.0388,686.6016889
9,9,0.312966517,413049.0866,412744.0172,4728681.75,4728738.31,412893.0792,4728698.15,Coquille,277.9,52,Mid-South Coast,676794.848,273890.2533,Functionally Independent,965425.0388,312.9665197
10,10,0.477464659,412744.0172,412288.1054,4728738.31,4728865.258,412515.4469,4728800.016,Coquille,277.9,52,Mid-South Coast,676794.848,273890.2533,Functionally Independent,965425.0388,477.4647244
11,11,0.522071127,459786.7666,459890.4069,4730288.782,4729828.147,459822.3617,4730057.284,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,522.0711903
12,13,0.380742353,460396.372,460678.1018,4729040.177,4728815.4,460530.1644,4728923.54,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,380.7423248
13,12,0.999500908,459890.4069,460396.372,4729828.147,4729040.177,460142.9967,4729434.006,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,999.5010994
14,14,0.618759913,459786.7666,460355.6078,4730288.782,4730405.811,460080.3092,4730364.727,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,618.7598789
15,15,0.858667141,460355.6078,461124.9568,4730405.811,4730100.511,460753.8006,4730298.209,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,858.6672629
16,16,0.140845949,413212.4903,413151.8299,4728976.254,4728883.087,413148.5875,4728927.374,Coquille,277.9,52,Mid-South Coast,676794.848,273890.2533,Functionally Independent,965425.0388,140.8458721
17,17,0.239687155,413151.8299,413049.0866,4728883.087,4728681.75,413125.9928,4728763.02,Coquille,277.9,52,Mid-South Coast,676794.848,273890.2533,Functionally Independent,965425.0388,239.6871658
