Brood Year,Spawners,Parr Year,TotalParr,SmoltYear,Smolts
1992,45581,1993,,,
1993,58715,1994,,,
1994,47024,1995,,,
1995,60771,1996,,,
1996,81022,1997,,,
1997,23661,1998,2687353,1999,542845
1998,32475,1999,2542901,2000,925616
1999,47042,2000,8221472,2001,3946307
2000,73691,2001,8531620,2002,2346195
2001,161818,2002,9642558,2003,2622776
2002,253094,2003,10439342,2004,2693350
2003,227557,2004,9538020,2005,3586296
2004,172778,2005,8869356,2006,3122013
2005,154595,2006,12314600,2007,2893931
2006,128819,2007,11841685,2008,2818321
2007,66271,2008,8902244,2009,3258221
2008,179686,2009,14200615,2010,4103978
2009,262735,2010,10067358,2011,2577244
2010,283405,2011,12626227,2012,2853527
2011,356244,2012,11201299,2013,4144481
2012,99145,2013,12747960,2014,3607673
2013,124411,2014,8459825,2015,2834041
2014,359692,2015,12440796,2016,2450837
2015,57142,2016,8819244,2017,2689870
2016,75904,2017,10401991,2018,3942355
2017,61377,2018,9521335,2019,2827358
2018,74521,2019,9290026,2020,2852038
2019,95135,2020,,,
2020,109932,2021,,,
2021,242185,2022,,,
