LifeStage,PopGrpID,PopGrp,ID_Num,COMID,Reach,MWMT_Indx2047,MWMT_Indx2048,MWMT_Indx2049,MWMT_Indx2050,MWMT_Indx2051,MWMT_Indx2052,MWMT_Indx2053,MWMT_Indx2054,MWMT_Indx2055,MWMT_Indx2056,MWMT_Indx2057,MWMT_Indx2058,MWMT_Indx2059,MWMT_Indx2060,MWMT_Indx2061,MWMT_Indx2062,MWMT_Indx2063,MWMT_Indx2064,MWMT_Indx2065,MWMT_Indx2066,MWMT_Indx2067,MWMT_Indx2068,MWMT_Indx2069,MWMT_Indx2070,MWMT_Indx2071,MWMT_Indx2072,MWMT_Indx2073,MWMT_Indx2074,MWMT_Indx2075,MWMT_Indx2076,MWMT_Indx2077,MWMT_Indx2078,MWMT_Indx2079,MWMT_Indx2080
rear,1,Necanicum,20806,23871267,,18.04034424,18.71848679,18.5532608,19.83618164,18.45235252,19.16704178,18.21838188,18.09543228,19.77716827,18.961689,19.24498177,19.32938194,17.49149895,18.39157295,16.93176651,18.8625927,19.35173225,20.17417526,19.03682137,18.68166924,19.8628006,18.05746078,19.74223518,17.66934395,17.60929298,17.88000298,18.60226822,19.92450523,21.07147789,18.79815674,17.9532795,19.53413963,19.01469421,18.18933487
rear,1,Necanicum,20055,23871289,,16.66770744,17.54412842,17.34163284,18.71207047,17.18990898,17.77580452,16.60839844,16.79668617,18.34139824,17.78258133,17.87137985,18.07044601,16.14839554,17.01133728,15.63533401,17.54553795,18.20094872,18.74121094,17.77290916,17.53307724,18.57722282,16.9137764,18.54590797,16.63920975,16.33923721,16.55743027,17.38174057,18.65024376,19.67490768,17.48948479,17.08674431,18.55940628,17.32406044,17.11079979
rear,1,Necanicum,1796,23871239,Neawanna Cr,21.11273766,21.92454529,22.17351151,23.18964577,21.07236671,21.71650696,21.47966194,20.76236343,23.07409859,20.96393204,22.41637802,21.94497108,19.83013153,22.10409164,19.70710373,21.76470375,22.33932114,23.12975121,22.16146851,20.35886383,22.80738831,20.19188499,22.0598793,20.19254684,20.45145988,20.85604858,21.42247391,22.62643242,24.22238159,22.75462914,20.96962166,22.16469193,22.61580086,21.12883568
rear,1,Necanicum,1797,23871239,Neawanna Cr,21.11273766,21.92454529,22.17351151,23.18964577,21.07236671,21.71650696,21.47966194,20.76236343,23.07409859,20.96393204,22.41637802,21.94497108,19.83013153,22.10409164,19.70710373,21.76470375,22.33932114,23.12975121,22.16146851,20.35886383,22.80738831,20.19188499,22.0598793,20.19254684,20.45145988,20.85604858,21.42247391,22.62643242,24.22238159,22.75462914,20.96962166,22.16469193,22.61580086,21.12883568
rear,1,Necanicum,1807,23871153,Little Muddy Cr,21.27137566,22.06744957,22.28333473,23.29529381,21.26462936,21.91902924,21.64242744,20.98128128,23.22782898,21.15668678,22.55993652,22.09443665,20.05702591,22.2293644,19.91535187,21.93926811,22.43850136,23.26830864,22.35754585,20.52927208,22.91749573,20.43482399,22.18213844,20.41458321,20.62372208,21.08922386,21.58845711,22.73534393,24.18581772,22.84193611,20.7006321,21.99054146,22.3897934,20.88818169
rear,1,Necanicum,1805,23871243,Little Muddy Cr,16.15944481,16.77348328,16.87582207,17.69454002,16.20549774,16.7478981,16.46134567,15.99058342,17.65872192,16.14920998,17.16749001,16.82465172,15.27932262,16.69672775,15.05417538,16.67625999,16.95257759,17.71500778,16.93722725,15.74496841,17.46939278,15.64774609,17.02933121,15.56075668,15.72450066,16.05710411,16.41017723,17.37728691,18.40989494,17.18079567,15.6743536,16.86558914,16.89414215,15.91679668
rear,1,Necanicum,1805,23871243,Little Muddy Cr,16.15944481,16.77348328,16.87582207,17.69454002,16.20549774,16.7478981,16.46134567,15.99058342,17.65872192,16.14920998,17.16749001,16.82465172,15.27932262,16.69672775,15.05417538,16.67625999,16.95257759,17.71500778,16.93722725,15.74496841,17.46939278,15.64774609,17.02933121,15.56075668,15.72450066,16.05710411,16.41017723,17.37728691,18.40989494,17.18079567,15.6743536,16.86558914,16.89414215,15.91679668
rear,1,Necanicum,17746,23871245,Williamson Cr,19.55039024,20.28205872,20.48047638,21.41056061,19.54418945,20.14564514,19.89142227,19.28376579,21.34855652,19.44498062,20.73469925,20.30685997,18.43428802,20.43087196,18.30407715,20.16424751,20.62308884,21.38575935,20.54868317,18.86832809,21.0633297,18.78152084,20.38746834,18.76291847,18.95513725,19.38297462,19.84181786,20.89591408,22.22903633,20.99388313,19.02582359,20.21137047,20.57832146,19.19819832
rear,1,Necanicum,1829,23871261,Necanicum R,19.92590714,20.64306641,20.61215401,21.73735237,20.1670208,20.9892807,20.15465546,19.88262939,21.84863663,20.32158089,21.21803093,20.90272713,19.10982895,20.53796577,18.68942451,20.66779518,20.93982124,22.03410912,20.90272713,19.89499474,21.57042694,19.34476089,20.87799835,19.2829361,19.41894913,19.81462288,20.29685211,21.40350342,22.59052467,21.15744209,19.28664589,20.70365334,20.80121231,19.55496216
rear,1,Necanicum,1833,23871255,Klootchie Cr,17.92473221,18.58351517,18.56725121,19.69714546,18.11103439,18.75210953,18.10900307,17.76959801,19.54150963,18.38936806,19.04368591,18.8726902,17.09353638,18.26670074,16.63798714,18.56204033,18.98386383,19.77050972,18.73756409,18.06792068,19.45350266,17.56778717,19.1756134,17.36448669,17.33763504,17.61310005,18.26545143,19.43830299,20.56219101,18.7985611,17.72051048,19.13178444,18.4858551,17.83567619
