LifeStage,PopGrpID,PopGrp,ID_Num,COMID,Reach,MWMT_Indx2047,MWMT_Indx2048,MWMT_Indx2049,MWMT_Indx2050,MWMT_Indx2051,MWMT_Indx2052,MWMT_Indx2053,MWMT_Indx2054,MWMT_Indx2055,MWMT_Indx2056,MWMT_Indx2057,MWMT_Indx2058,MWMT_Indx2059,MWMT_Indx2060,MWMT_Indx2061,MWMT_Indx2062,MWMT_Indx2063,MWMT_Indx2064,MWMT_Indx2065,MWMT_Indx2066,MWMT_Indx2067,MWMT_Indx2068,MWMT_Indx2069,MWMT_Indx2070,MWMT_Indx2071,MWMT_Indx2072,MWMT_Indx2073,MWMT_Indx2074,MWMT_Indx2075,MWMT_Indx2076,MWMT_Indx2077,MWMT_Indx2078,MWMT_Indx2079,MWMT_Indx2080
Spwn,1,Necanicum,1790,23871321,Thompson Cr,20.17768478,20.94753075,21.11747169,22.09943962,20.22857666,20.88271904,20.55294418,19.94590187,22.07062531,20.14665222,21.43547821,20.99839973,19.07741928,21.07912636,18.9043541,20.82916832,21.31594086,22.1510849,21.16834068,19.63485527,21.76669502,19.34679604,21.07125664,19.3524704,19.60249519,19.98455811,20.49830627,21.61495018,23.06255913,21.68148613,19.75800705,21.01693535,21.39710426,19.95422173
Spwn,1,Necanicum,1794,23871239,Neawanna Cr,21.11273766,21.92454529,22.17351151,23.18964577,21.07236671,21.71650696,21.47966194,20.76236343,23.07409859,20.96393204,22.41637802,21.94497108,19.83013153,22.10409164,19.70710373,21.76470375,22.33932114,23.12975121,22.16146851,20.35886383,22.80738831,20.19188499,22.0598793,20.19254684,20.45145988,20.85604858,21.42247391,22.62643242,24.22238159,22.75462914,20.96962166,22.16469193,22.61580086,21.12883568
Spwn,1,Necanicum,1796,23871239,Neawanna Cr,21.11273766,21.92454529,22.17351151,23.18964577,21.07236671,21.71650696,21.47966194,20.76236343,23.07409859,20.96393204,22.41637802,21.94497108,19.83013153,22.10409164,19.70710373,21.76470375,22.33932114,23.12975121,22.16146851,20.35886383,22.80738831,20.19188499,22.0598793,20.19254684,20.45145988,20.85604858,21.42247391,22.62643242,24.22238159,22.75462914,20.96962166,22.16469193,22.61580086,21.12883568
Spwn,1,Necanicum,1797,23871239,Neawanna Cr,21.11273766,21.92454529,22.17351151,23.18964577,21.07236671,21.71650696,21.47966194,20.76236343,23.07409859,20.96393204,22.41637802,21.94497108,19.83013153,22.10409164,19.70710373,21.76470375,22.33932114,23.12975121,22.16146851,20.35886383,22.80738831,20.19188499,22.0598793,20.19254684,20.45145988,20.85604858,21.42247391,22.62643242,24.22238159,22.75462914,20.96962166,22.16469193,22.61580086,21.12883568
Spwn,1,Necanicum,1807,23871153,Little Muddy Cr,21.27137566,22.06744957,22.28333473,23.29529381,21.26462936,21.91902924,21.64242744,20.98128128,23.22782898,21.15668678,22.55993652,22.09443665,20.05702591,22.2293644,19.91535187,21.93926811,22.43850136,23.26830864,22.35754585,20.52927208,22.91749573,20.43482399,22.18213844,20.41458321,20.62372208,21.08922386,21.58845711,22.73534393,24.18581772,22.84193611,20.7006321,21.99054146,22.3897934,20.88818169
Spwn,1,Necanicum,1805,23871243,Little Muddy Cr,16.15944481,16.77348328,16.87582207,17.69454002,16.20549774,16.7478981,16.46134567,15.99058342,17.65872192,16.14920998,17.16749001,16.82465172,15.27932262,16.69672775,15.05417538,16.67625999,16.95257759,17.71500778,16.93722725,15.74496841,17.46939278,15.64774609,17.02933121,15.56075668,15.72450066,16.05710411,16.41017723,17.37728691,18.40989494,17.18079567,15.6743536,16.86558914,16.89414215,15.91679668
Spwn,1,Necanicum,1810,23871189,Beerman Cr,19.10025406,19.82345581,19.96338081,20.98105621,19.14968681,19.74944305,19.43138504,18.82552147,20.82821083,19.18718529,20.28143883,19.92516327,18.03214455,19.6995945,17.75414848,19.71222687,20.18597794,20.93489075,20.00400925,18.72294617,20.60518265,18.46597481,20.15187645,18.34381294,18.45831108,18.78078079,19.37768745,20.53684998,21.84773064,20.24843788,18.7689476,20.07933998,19.92937088,18.90616035
Spwn,1,Necanicum,16043,23871189,Beerman Cr,19.10025406,19.82345581,19.96338081,20.98105621,19.14968681,19.74944305,19.43138504,18.82552147,20.82821083,19.18718529,20.28143883,19.92516327,18.03214455,19.6995945,17.75414848,19.71222687,20.18597794,20.93489075,20.00400925,18.72294617,20.60518265,18.46597481,20.15187645,18.34381294,18.45831108,18.78078079,19.37768745,20.53684998,21.84773064,20.24843788,18.7689476,20.07933998,19.92937088,18.90616035
Spwn,1,Necanicum,21486,23871189,Beerman Cr,19.10025406,19.82345581,19.96338081,20.98105621,19.14968681,19.74944305,19.43138504,18.82552147,20.82821083,19.18718529,20.28143883,19.92516327,18.03214455,19.6995945,17.75414848,19.71222687,20.18597794,20.93489075,20.00400925,18.72294617,20.60518265,18.46597481,20.15187645,18.34381294,18.45831108,18.78078079,19.37768745,20.53684998,21.84773064,20.24843788,18.7689476,20.07933998,19.92937088,18.90616035
Spwn,1,Necanicum,16043,23871189,Beerman Cr,19.10025406,19.82345581,19.96338081,20.98105621,19.14968681,19.74944305,19.43138504,18.82552147,20.82821083,19.18718529,20.28143883,19.92516327,18.03214455,19.6995945,17.75414848,19.71222687,20.18597794,20.93489075,20.00400925,18.72294617,20.60518265,18.46597481,20.15187645,18.34381294,18.45831108,18.78078079,19.37768745,20.53684998,21.84773064,20.24843788,18.7689476,20.07933998,19.92937088,18.90616035
