IDNUM,year,Fall,Spring,Summer,Winter
1003,2019,16.64066111,7.202675183,3.140516025,18.87405329
1006,2019,18.08604435,7.543566423,3.255610019,20.20221357
1033,2019,12.15302052,5.687690714,2.53798771,14.02918628
1041,2019,13.91704046,6.001724361,2.60478851,15.44513555
1045,2019,12.15302052,5.687690714,2.53798771,14.02918628
1048,2019,13.71784826,6.05064204,2.688546789,15.47078736
105014,2019,14.53906908,5.492096287,2.210681674,16.69294049
105026,2019,10.8257785,4.758699056,1.801869648,12.27125348
105042,2019,10.23780122,4.426667902,1.59417629,11.40952337
1068,2019,17.66829768,6.970958126,3.059968719,19.39049821
107,2019,9.393909783,4.667088477,2.015469453,10.85177892
1075,2019,18.80554061,7.212578084,3.220789744,20.72235469
1078,2019,19.54964754,7.313823355,3.302199542,21.62813251
1092,2019,16.44134513,6.756069164,2.944819703,17.98485537
1100,2019,18.22882108,7.233777354,3.117639304,19.89750552
1110,2019,15.64004451,6.016099739,2.642106075,17.7367191
1113,2019,13.21025997,5.197500549,2.181783877,15.16132766
1114,2019,13.21025997,5.197500549,2.181783877,15.16132766
1115,2019,11.08153015,4.32103302,1.780229693,12.69990898
1120,2019,17.56555331,6.951250252,2.970861035,19.32942292
1123,2019,17.56555331,6.951250252,2.970861035,19.32942292
11325,2019,10.47876238,5.030656427,2.073443495,12.02801554
11326,2019,10.47876238,5.030656427,2.073443495,12.02801554
11327,2019,10.47876238,5.030656427,2.073443495,12.02801554
11328,2019,11.92995484,5.516884009,2.199790946,13.94762057
11329,2019,11.92995484,5.516884009,2.199790946,13.94762057
11330,2019,10.41535724,4.688297306,1.793047146,12.24387687
11331,2019,9.743375003,4.761518226,2.002725718,10.99050515
11332,2019,9.701418895,4.690828517,1.980466271,10.96642352
11333,2019,9.701418895,4.690828517,1.980466271,10.96642352
11334,2019,12.62447666,5.635463347,2.260554761,14.50562907
11335,2019,12.62447666,5.635463347,2.260554761,14.50562907
11337,2019,12.04889399,5.293567411,2.272616715,13.72969756
11338,2019,10.16422405,4.842468843,2.060162063,11.52413547
11340,2019,10.48860346,4.907410101,2.077849743,11.9215188
11341,2019,10.48860346,4.907410101,2.077849743,11.9215188
11342,2019,11.94688851,5.463318015,2.187252881,13.5699054
11343,2019,10.83597043,4.958182849,2.047268983,12.25793097
11344,2019,10.85953959,5.028860858,2.055235026,12.24393029
11345,2019,10.85953959,5.028860858,2.055235026,12.24393029
11346,2019,11.09570744,4.881057139,1.978288601,12.5620119
11347,2019,10.85953959,5.028860858,2.055235026,12.24393029
11348,2019,9.976267012,4.425670784,1.67361449,11.26868922
11349,2019,9.976267012,4.425670784,1.67361449,11.26868922
11350,2019,11.03943584,5.128474997,2.002832686,12.55026512
11351,2019,10.8257785,4.758699056,1.801869648,12.27125348
11352,2019,10.8257785,4.758699056,1.801869648,12.27125348
11353,2019,10.23780122,4.426667902,1.59417629,11.40952337
11354,2019,11.78978899,5.361101477,2.06992131,13.77239125
11355,2019,10.16422405,4.842468843,2.060162063,11.52413547
11356,2019,10.23780122,4.426667902,1.59417629,11.40952337
11358,2019,10.8257785,4.758699056,1.801869648,12.27125348
11362,2019,10.8257785,4.758699056,1.801869648,12.27125348
