"","x"
"1",1281
"2",11325
"3",11326
"4",11327
"5",11328
"6",11329
"7",11330
"8",11331
"9",11332
"10",11333
"11",11334
"12",11335
"13",11337
"14",11338
"15",11340
"16",11341
"17",11342
"18",11343
"19",11344
"20",11345
"21",11346
"22",11347
"23",11348
"24",11349
"25",11350
"26",11351
"27",11352
"28",11353
"29",11354
"30",11355
"31",11356
"32",11358
"33",11362
"34",1805
"35",85
"36",1033
"37",1295
"38",1488
"39",1536
"40",1616
"41",16027
"42",16154
"43",456
"44",545
"45",664
"46",715
"47",16017
"48",16021
"49",16101
"50",16130
"51",16149
"52",16150
"53",165
"54",233
"55",275
"56",331
"57",335
"58",367
"59",16009
"60",16010
"61",16029
"62",130
"63",3597
"64",1955
"65",3336
"66",35006
"67",3249
"68",3090
"69",3157
"70",2161
"71",2195
"72",2556
"73",2630
"74",2631
"75",35003
"76",2738
"77",2762
"78",2796
"79",3390
"80",35049
"81",2950
"82",3074
"83",35004
"84",35002
"85",35035
"86",35051
"87",35064
"88",6033
"89",5885
"90",5323
"91",5523
"92",5564
"93",5638
"94",45001
"95",45049
"96",4362
"97",4699
"98",4794
"99",4851
"100",5073
"101",5091
"102",45002
"103",45032
"104",45044
"105",3928
"106",4054
"107",4006
"108",45018
"109",6419
"110",6647
"111",6673
"112",6915
"113",7178
"114",7285
"115",7369
"116",7063
"117",7077
"118",55005
"119",55039
"120",55100
"121",405191
"122",7813
"123",7891
"124",7973
"125",7999
"126",8033
"127",8056
"128",8266
"129",8275
"130",8306
"131",1829
"132",966
"133",978
"134",1113
"135",1345
"136",1601
"137",1735
"138",16220
"139",16300
"140",663
"141",795
"142",830
"143",16241
"144",16246
"145",158
"146",256
"147",327
"148",393
"149",16221
"150",16222
"151",3518
"152",3285
"153",2989
"154",3104
"155",2208
"156",2237
"157",2380
"158",2476
"159",2492
"160",35211
"161",2724
"162",3831
"163",3719
"164",35275
"165",3231
"166",2949
"167",35272
"168",35281
"169",2068
"170",2089
"171",2091
"172",2696
"173",6080
"174",6041
"175",5338
"176",5402
"177",5629
"178",45199
"179",45279
"180",45283
"181",3897
"182",3967
"183",4427
"184",4441
"185",4829
"186",45312
"187",45200
"188",3994
"189",6385
"190",6481
"191",6501
"192",6592
"193",6919
"194",55327
"195",55332
"196",55539
"197",7190
"198",7371
"199",7397
"200",7382
"201",8329
"202",55331
"203",55376
"204",7490
"205",7954
"206",8093
"207",8124
"208",8142
"209",8304
"210",1874
"211",1279
"212",1441
"213",16403
"214",588
"215",683
"216",718
"217",813
"218",1898
"219",16427
"220",16447
"221",16475
"222",134
"223",208
"224",237
"225",35429
"226",3467
"227",3544
"228",3622
"229",3724
"230",3731
"231",35439
"232",205161
"233",2912
"234",35472
"235",2008
"236",2283
"237",2451
"238",2464
"239",2597
"240",35525
"241",6104
"242",5360
"243",5436
"244",5566
"245",5645
"246",5731
"247",5806
"248",45415
"249",45444
"250",45448
"251",4395
"252",4546
"253",4732
"254",5003
"255",5050
"256",45430
"257",6383
"258",6472
"259",6690
"260",6765
"261",55656
"262",55658
"263",55965
"264",7057
"265",7379
"266",55649
"267",8402
"268",7535
"269",7778
"270",7887
"271",8157
"272",8237
"273",55676
"274",73
"275",1092
"276",1535
"277",1543
"278",550
"279",850
"280",16578
"281",16585
"282",16587
"283",182
"284",185
"285",276
"286",363
"287",382
"288",3578
"289",3583
"290",2137
"291",2379
"292",2504
"293",3411
"294",2969
"295",3057
"296",3130
"297",1965
"298",2171
"299",2332
"300",2548
"301",2754
"302",5940
"303",5370
"304",5389
"305",4199
"306",4497
"307",4592
"308",4753
"309",4852
"310",5110
"311",4001
"312",45606
"313",6513
"314",6741
"315",6744
"316",6929
"317",7251
"318",7352
"319",7026
"320",7308
"321",7555
"322",7610
"323",7869
"324",8010
"325",8153
"326",72
"327",979
"328",1006
"329",1068
"330",1699
"331",1729
"332",617
"333",794
"334",253
"335",297
"336",332
"337",354
"338",3517
"339",3584
"340",3726
"341",2902
"342",3002
"343",3034
"344",3184
"345",2228
"346",2511
"347",2688
"348",2751
"349",2861
"350",5457
"351",5491
"352",5703
"353",5743
"354",5829
"355",4334
"356",4905
"357",4970
"358",4096
"359",4027
"360",6557
"361",6577
"362",6579
"363",6600
"364",6611
"365",6695
"366",6903
"367",6268
"368",7146
"369",7668
"370",8154
"371",8178
"372",56314
"373",1844
"374",895
"375",969
"376",1196
"377",1241
"378",1271
"379",1410
"380",1474
"381",16978
"382",530
"383",608
"384",716
"385",778
"386",215
"387",228
"388",291
"389",16984
"390",3194
"391",36062
"392",1984
"393",1998
"394",2046
"395",2248
"396",2278
"397",2478
"398",2830
"399",3766
"400",3655
"401",3718
"402",36063
"403",3280
"404",3296
"405",3429
"406",1949
"407",36061
"408",2574
"409",2603
"410",6092
"411",6035
"412",5416
"413",5776
"414",46002
"415",46004
"416",3862
"417",4215
"418",4385
"419",4504
"420",4676
"421",4702
"422",5051
"423",5139
"424",5165
"425",3993
"426",6424
"427",6456
"428",6469
"429",6603
"430",6791
"431",6831
"432",6857
"433",7183
"434",7263
"435",8333
"436",8345
"437",8366
"438",7537
"439",7768
"440",8008
"441",8024
"442",1833
"443",1328
"444",1401
"445",1468
"446",459
"447",754
"448",856
"449",17158
"450",284
"451",378
"452",3725
"453",3289
"454",3346
"455",3370
"456",2891
"457",3067
"458",3073
"459",3106
"460",1981
"461",2144
"462",2150
"463",2287
"464",2374
"465",2538
"466",36277
"467",2782
"468",5947
"469",5533
"470",5768
"471",46199
"472",4628
"473",4735
"474",4811
"475",5030
"476",5072
"477",5080
"478",6785
"479",56971
"480",7203
"481",7360
"482",7411
"483",8330
"484",8336
"485",8372
"486",6293
"487",7844
"488",8115
"489",8149
"490",1877
"491",1048
"492",1115
"493",1166
"494",1252
"495",1405
"496",1545
"497",1569
"498",17361
"499",582
"500",624
"501",801
"502",132
"503",292
"504",375
"505",3276
"506",3317
"507",36491
"508",2127
"509",2183
"510",2265
"511",2800
"512",2842
"513",36490
"514",2154
"515",2269
"516",2326
"517",2652
"518",2659
"519",2859
"520",5514
"521",5617
"522",5663
"523",5677
"524",5834
"525",4405
"526",4456
"527",4757
"528",5071
"529",5107
"530",46400
"531",6465
"532",6598
"533",6910
"534",57295
"535",6987
"536",8369
"537",8370
"538",8382
"539",8384
"540",8401
"541",7484
"542",7545
"543",7613
"544",7699
"545",7895
"546",7952
"547",8236
"548",1797
"549",1843
"550",959
"551",1586
"552",679
"553",723
"554",17557
"555",140
"556",218
"557",223
"558",248
"559",277
"560",319
"561",340
"562",1778
"563",3471
"564",3604
"565",3646
"566",3367
"567",2908
"568",2970
"569",3198
"570",2087
"571",2180
"572",2246
"573",2525
"574",2615
"575",5382
"576",46607
"577",4421
"578",4758
"579",4960
"580",5115
"581",5170
"582",6763
"583",6764
"584",7043
"585",7104
"586",7147
"587",7237
"588",7334
"589",7551
"590",7974
"591",8009
"592",1884
"593",1887
"594",17746
"595",929
"596",1120
"597",1264
"598",1470
"599",1649
"600",1678
"601",1704
"602",17729
"603",17731
"604",17733
"605",827
"606",870
"607",17772
"608",17884
"609",210
"610",234
"611",269
"612",315
"613",17740
"614",17832
"615",205178
"616",205242
"617",3542
"618",36915
"619",36916
"620",36937
"621",36988
"622",3265
"623",3311
"624",36956
"625",2880
"626",3030
"627",3117
"628",36995
"629",1907
"630",2016
"631",2050
"632",2103
"633",2275
"634",2334
"635",2539
"636",2567
"637",2580
"638",36920
"639",36958
"640",2839
"641",36917
"642",6049
"643",5289
"644",5460
"645",5483
"646",5570
"647",5634
"648",5670
"649",46868
"650",46936
"651",4629
"652",4648
"653",4797
"654",5008
"655",5036
"656",46814
"657",46934
"658",305015
"659",4107
"660",4115
"661",4020
"662",6539
"663",6614
"664",6628
"665",6887
"666",6894
"667",7195
"668",7351
"669",7445
"670",57958
"671",57956
"672",7510
"673",7620
"674",7703
"675",7739
"676",8177
"677",8241
"678",57965
"679",1845
"680",91
"681",1165
"682",1313
"683",1449
"684",1559
"685",1640
"686",476
"687",650
"688",17930
"689",290
"690",345
"691",362
"692",3623
"693",3704
"694",37128
"695",2985
"696",3105
"697",1986
"698",2117
"699",2193
"700",2295
"701",2419
"702",2436
"703",2677
"704",2740
"705",5342
"706",5447
"707",5619
"708",5624
"709",5701
"710",47009
"711",4341
"712",4426
"713",4672
"714",5150
"715",47011
"716",3986
"717",4004
"718",6712
"719",6817
"720",6841
"721",7230
"722",7358
"723",8344
"724",8407
"725",7752
"726",7937
"727",8205
"728",8254
"729",8270
"730",58287
"731",1796
"732",977
"733",1041
"734",18113
"735",511
"736",599
"737",694
"738",170
"739",193
"740",249
"741",361
"742",18146
"743",3777
"744",3541
"745",3264
"746",3382
"747",2893
"748",3134
"749",2178
"750",2335
"751",2344
"752",2394
"753",2589
"754",2637
"755",2651
"756",2853
"757",5950
"758",5552
"759",5620
"760",5737
"761",4220
"762",4479
"763",4945
"764",4964
"765",5049
"766",5075
"767",6391
"768",6543
"769",7238
"770",7370
"771",7384
"772",7416
"773",7947
"774",7976
"775",8144
"776",50
"777",81
"778",942
"779",1003
"780",1195
"781",1237
"782",1273
"783",1716
"784",662
"785",18376
"786",18388
"787",304
"788",18332
"789",18348
"790",18352
"791",1771
"792",3466
"793",37564
"794",37621
"795",3406
"796",2953
"797",3036
"798",3120
"799",2233
"800",2320
"801",2593
"802",2634
"803",2698
"804",37567
"805",2785
"806",3761
"807",6042
"808",5968
"809",5437
"810",5581
"811",5674
"812",5790
"813",47424
"814",47569
"815",4313
"816",4691
"817",4966
"818",5096
"819",47415
"820",47418
"821",4074
"822",4009
"823",6380
"824",6762
"825",6846
"826",7261
"827",58942
"828",8367
"829",8389
"830",58951
"831",7708
"832",7881
"833",7926
"834",8180
"835",922
"836",1226
"837",1648
"838",1680
"839",532
"840",639
"841",854
"842",373
"843",3794
"844",3616
"845",3325
"846",2884
"847",1990
"848",5526
"849",5770
"850",4755
"851",4828
"852",4932
"853",4017
"854",4140
"855",6639
"856",6757
"857",6781
"858",6964
"859",7075
"860",7096
"861",7124
"862",7258
"863",7894
"864",20229
"865",20230
"866",20238
"867",20241
"868",20228
"869",20379
"870",20240
"871",20232
"872",39708
"873",39715
"874",39719
"875",39716
"876",39731
"877",39710
"878",39720
"879",39729
"880",39714
"881",39722
"882",39726
"883",39730
"884",39762
"885",39712
"886",39721
"887",49483
"888",49467
"889",62293
"890",62376
"891",62439
"892",62566
"893",62316
"894",62330
"895",62305
"896",62307
"897",62318
"898",62334
"899",20422
"900",20421
"901",20426
"902",39974
"903",39983
"904",39969
"905",39964
"906",39980
"907",39965
"908",49705
"909",49708
"910",49712
"911",49725
"912",49732
"913",49706
"914",49726
"915",49731
"916",49735
"917",62680
"918",62700
"919",405245
"920",62688
"921",20616
"922",20613
"923",20620
"924",20632
"925",20618
"926",20633
"927",20622
"928",40228
"929",40233
"930",40234
"931",40223
"932",40235
"933",40219
"934",49972
"935",49961
"936",49977
"937",49988
"938",49967
"939",49973
"940",49979
"941",49974
"942",63070
"943",63043
"944",63047
"945",63049
"946",63042
"947",63048
"948",63060
"949",63064
"950",20806
"951",20801
"952",20814
"953",20818
"954",20808
"955",20811
"956",20804
"957",20819
"958",40475
"959",40487
"960",40478
"961",40486
"962",40477
"963",40476
"964",40483
"965",40484
"966",40489
"967",50234
"968",50243
"969",50250
"970",50224
"971",50236
"972",63417
"973",63433
"974",63445
"975",63422
"976",63449
"977",63420
"978",63424
"979",63419
"980",20995
"981",21003
"982",21012
"983",21015
"984",20994
"985",21011
"986",21013
"987",21014
"988",21021
"989",105026
"990",40734
"991",40730
"992",40729
"993",40736
"994",40737
"995",50468
"996",50494
"997",50474
"998",50499
"999",63830
"1000",63842
"1001",63840
"1002",63831
"1003",63845
"1004",21186
"1005",21194
"1006",21192
"1007",21196
"1008",21199
"1009",21193
"1010",40981
"1011",40988
"1012",40983
"1013",40979
"1014",40991
"1015",40999
"1016",50728
"1017",50731
"1018",50735
"1019",64185
"1020",64193
"1021",64201
"1022",64183
"1023",64187
"1024",64198
"1025",64203
"1026",64214
"1027",21570
"1028",21575
"1029",21588
"1030",21576
"1031",41501
"1032",41513
"1033",41517
"1034",41493
"1035",41512
"1036",41494
"1037",41500
"1038",41508
"1039",51236
"1040",51252
"1041",51238
"1042",51241
"1043",51250
"1044",51254
"1045",51239
"1046",64960
"1047",64976
"1048",64992
"1049",64968
"1050",64980
"1051",64950
"1052",64985
"1053",21768
"1054",21780
"1055",21762
"1056",21778
"1057",41747
"1058",41759
"1059",41757
"1060",41760
"1061",41761
"1062",51495
"1063",51514
"1064",51531
"1065",51538
"1066",51523
"1067",65328
"1068",65329
"1069",65381
"1070",65370
"1071",65376
"1072",65380
"1073",21953
"1074",21978
"1075",21981
"1076",21967
"1077",21970
"1078",105014
"1079",21956
"1080",42007
"1081",42011
"1082",41998
"1083",42017
"1084",42018
"1085",42009
"1086",42024
"1087",51774
"1088",51781
"1089",51785
"1090",51757
"1091",51771
"1092",51767
"1093",65716
"1094",65734
"1095",65746
"1096",65740
"1097",65751
"1098",1896
"1099",1275
"1100",1544
"1101",741
"1102",874
"1103",227
"1104",3823
"1105",3528
"1106",3587
"1107",3069
"1108",3138
"1109",2130
"1110",2211
"1111",2217
"1112",2514
"1113",6108
"1114",5334
"1115",5565
"1116",4739
"1117",4075
"1118",6506
"1119",6512
"1120",6541
"1121",6594
"1122",6610
"1123",6942
"1124",7427
"1125",7431
"1126",7731
"1127",8229
"1128",8235
"1129",22158
"1130",22150
"1131",22154
"1132",22177
"1133",22178
"1134",22175
"1135",22168
"1136",22172
"1137",22156
"1138",42250
"1139",42255
"1140",42259
"1141",42253
"1142",42265
"1143",52009
"1144",52013
"1145",52021
"1146",52008
"1147",52023
"1148",52031
"1149",66121
"1150",66098
"1151",66104
"1152",66110
"1153",66112
"1154",66093
"1155",66108
"1156",22342
"1157",22345
"1158",22346
"1159",22356
"1160",22361
"1161",22368
"1162",42527
"1163",42503
"1164",42524
"1165",42526
"1166",42513
"1167",42517
"1168",42521
"1169",42522
"1170",42523
"1171",52267
"1172",52282
"1173",52262
"1174",52274
"1175",52278
"1176",66492
"1177",66477
"1178",66516
"1179",66524
"1180",66473
"1181",66482
"1182",66485
"1183",66509
"1184",66518
"1185",22734
"1186",67243
"1187",1078
"1188",1409
"1189",461
"1190",563
"1191",660
"1192",799
"1193",806
"1194",178
"1195",3524
"1196",3728
"1197",3757
"1198",1972
"1199",2340
"1200",2450
"1201",2571
"1202",2661
"1203",5426
"1204",5456
"1205",5721
"1206",5828
"1207",4461
"1208",4582
"1209",4742
"1210",4963
"1211",5052
"1212",4135
"1213",1807
"1214",1846
"1215",1361
"1216",1407
"1217",1583
"1218",1677
"1219",145
"1220",214
"1221",252
"1222",346
"1223",425
"1224",3574
"1225",2890
"1226",2986
"1227",3149
"1228",2167
"1229",2235
"1230",2259
"1231",2319
"1232",2346
"1233",2650
"1234",2860
"1235",5539
"1236",4193
"1237",4507
"1238",4669
"1239",5154
"1240",4003
"1241",6430
"1242",6912
"1243",7277
"1244",8037
"1245",8071
"1246",8274
"1247",1045
"1248",1075
"1249",1458
"1250",1504
"1251",1606
"1252",1752
"1253",133
"1254",270
"1255",278
"1256",318
"1257",386
"1258",392
"1259",107
"1260",3460
"1261",3300
"1262",3372
"1263",3375
"1264",3022
"1265",2018
"1266",2353
"1267",2607
"1268",2627
"1269",2781
"1270",5438
"1271",5571
"1272",5655
"1273",5727
"1274",3840
"1275",4539
"1276",5005
"1277",7240
"1278",7408
"1279",7725
"1280",7845
"1281",7941
"1282",8003
"1283",8107
"1284",1258
"1285",1541
"1286",534
"1287",638
"1288",174
"1289",243
"1290",381
"1291",396
"1292",3830
"1293",3740
"1294",3262
"1295",3229
"1296",2028
"1297",2145
"1298",2432
"1299",2643
"1300",2737
"1301",6086
"1302",5404
"1303",5676
"1304",4196
"1305",4356
"1306",4525
"1307",4896
"1308",4996
"1309",3989
"1310",4002
"1311",6474
"1312",6601
"1313",7386
"1314",8368
"1315",8392
"1316",8394
"1317",7483
"1318",7710
"1319",7718
"1320",7965
"1321",8227
"1322",1857
"1323",980
"1324",1539
"1325",1570
"1326",1598
"1327",610
"1328",701
"1329",800
"1330",807
"1331",137
"1332",154
"1333",239
"1334",245
"1335",365
"1336",377
"1337",3402
"1338",3190
"1339",2122
"1340",2172
"1341",2307
"1342",2533
"1343",2811
"1344",5480
"1345",5686
"1346",4204
"1347",4268
"1348",4832
"1349",4971
"1350",4989
"1351",4021
"1352",6732
"1353",6786
"1354",6963
"1355",7005
"1356",7225
"1357",7624
"1358",931
"1359",1114
"1360",1262
"1361",1705
"1362",605
"1363",655
"1364",195
"1365",240
"1366",368
"1367",391
"1368",3506
"1369",3559
"1370",3601
"1371",3293
"1372",2898
"1373",3187
"1374",3209
"1375",2045
"1376",2218
"1377",2373
"1378",2496
"1379",2682
"1380",4207
"1381",4547
"1382",4749
"1383",5137
"1384",5167
"1385",4049
"1386",6522
"1387",6578
"1388",6580
"1389",6582
"1390",6680
"1391",6870
"1392",6886
"1393",6938
"1394",7172
"1395",7883
"1396",8175
"1397",1110
"1398",1385
"1399",1462
"1400",1608
"1401",653
"1402",750
"1403",837
