"","test_years","n_years_ahead","mod","sp","st","survey_GRTS_type","survey_pop_type","rmse","AIC"
"1",2017,0,1,TRUE,"iid","annual,annua","c(""Nestucca"", ""Necanicum"", ""Tillamook Bay"", ""NCDependent"", ""Siletz"", ""Yaquina"", ""Beaver"", ""Siuslaw"", ""MCDependent"", ""Tahkenitch"", ""Tenmile"", ""Coquille"", ""Floras"", ""Sixes"", ""Middle Umpqua"", ""North Umpqua"", ""South Umpqua"", ""Salmon"", ""Siltcoos"", ""MSDependent"")",358.601378361289,32885.6277798768
"2",2018,0,1,TRUE,"iid","annual,annua","c(""Nestucca"", ""Necanicum"", ""Tillamook Bay"", ""NCDependent"", ""Siletz"", ""Yaquina"", ""Beaver"", ""Siuslaw"", ""MCDependent"", ""Tahkenitch"", ""Tenmile"", ""Coquille"", ""Floras"", ""Sixes"", ""Middle Umpqua"", ""North Umpqua"", ""South Umpqua"", ""Salmon"", ""Siltcoos"", ""MSDependent"")",327.693504036343,33533.0463638983
"3",2019,0,1,TRUE,"iid","annual,annua","c(""Nestucca"", ""Necanicum"", ""Tillamook Bay"", ""NCDependent"", ""Siletz"", ""Yaquina"", ""Beaver"", ""Siuslaw"", ""MCDependent"", ""Tahkenitch"", ""Tenmile"", ""Coquille"", ""Floras"", ""Sixes"", ""Middle Umpqua"", ""North Umpqua"", ""South Umpqua"", ""Salmon"", ""Siltcoos"", ""MSDependent"")",331.489317912028,34199.1728189152
"4",2020,0,1,TRUE,"iid","annual,annua","c(""Nestucca"", ""Necanicum"", ""Tillamook Bay"", ""NCDependent"", ""Siletz"", ""Yaquina"", ""Beaver"", ""Siuslaw"", ""MCDependent"", ""Tahkenitch"", ""Tenmile"", ""Coquille"", ""Floras"", ""Sixes"", ""Middle Umpqua"", ""North Umpqua"", ""South Umpqua"", ""Salmon"", ""Siltcoos"", ""MSDependent"")",312.516827435244,34875.5969773485
"5",2021,0,1,TRUE,"iid","annual,annua","c(""Nestucca"", ""Necanicum"", ""Tillamook Bay"", ""NCDependent"", ""Siletz"", ""Yaquina"", ""Beaver"", ""Siuslaw"", ""MCDependent"", ""Tahkenitch"", ""Tenmile"", ""Coquille"", ""Floras"", ""Sixes"", ""Middle Umpqua"", ""North Umpqua"", ""South Umpqua"", ""Salmon"", ""Siltcoos"", ""MSDependent"")",349.457184696691,35497.2275990401
"6",2017,1,1,TRUE,"iid","annual,annua","c(""Nestucca"", ""Necanicum"", ""Tillamook Bay"", ""NCDependent"", ""Siletz"", ""Yaquina"", ""Beaver"", ""Siuslaw"", ""MCDependent"", ""Tahkenitch"", ""Tenmile"", ""Coquille"", ""Floras"", ""Sixes"", ""Middle Umpqua"", ""North Umpqua"", ""South Umpqua"", ""Salmon"", ""Siltcoos"", ""MSDependent"")",364.768559060545,31239.1717911215
"7",2018,1,1,TRUE,"iid","annual,annua","c(""Nestucca"", ""Necanicum"", ""Tillamook Bay"", ""NCDependent"", ""Siletz"", ""Yaquina"", ""Beaver"", ""Siuslaw"", ""MCDependent"", ""Tahkenitch"", ""Tenmile"", ""Coquille"", ""Floras"", ""Sixes"", ""Middle Umpqua"", ""North Umpqua"", ""South Umpqua"", ""Salmon"", ""Siltcoos"", ""MSDependent"")",328.160804987609,31945.4116676272
"8",2019,1,1,TRUE,"iid","annual,annua","c(""Nestucca"", ""Necanicum"", ""Tillamook Bay"", ""NCDependent"", ""Siletz"", ""Yaquina"", ""Beaver"", ""Siuslaw"", ""MCDependent"", ""Tahkenitch"", ""Tenmile"", ""Coquille"", ""Floras"", ""Sixes"", ""Middle Umpqua"", ""North Umpqua"", ""South Umpqua"", ""Salmon"", ""Siltcoos"", ""MSDependent"")",366.480973980219,32592.9927243052
"9",2020,1,1,TRUE,"iid","annual,annua","c(""Nestucca"", ""Necanicum"", ""Tillamook Bay"", ""NCDependent"", ""Siletz"", ""Yaquina"", ""Beaver"", ""Siuslaw"", ""MCDependent"", ""Tahkenitch"", ""Tenmile"", ""Coquille"", ""Floras"", ""Sixes"", ""Middle Umpqua"", ""North Umpqua"", ""South Umpqua"", ""Salmon"", ""Siltcoos"", ""MSDependent"")",328.624770465437,33259.2004250157
"10",2021,1,1,TRUE,"iid","annual,annua","c(""Nestucca"", ""Necanicum"", ""Tillamook Bay"", ""NCDependent"", ""Siletz"", ""Yaquina"", ""Beaver"", ""Siuslaw"", ""MCDependent"", ""Tahkenitch"", ""Tenmile"", ""Coquille"", ""Floras"", ""Sixes"", ""Middle Umpqua"", ""North Umpqua"", ""South Umpqua"", ""Salmon"", ""Siltcoos"", ""MSDependent"")",411.52900390049,33935.96174033
