"","UTM_E_km","UTM_N_km","pred"
"500851",422,5120,10.5940018328722
"500852",423,5118,10.6136952107037
"500853",424,5116,10.6334251969044
"500854",425,5114,10.6531918595262
"500855",425,5113,10.6104120831865
"500856",426,5112,10.6729952667477
"500857",426,5111,10.6301359663233
"500858",426,5110,10.5874487750011
"500859",427,5109,10.6498965145361
"500860",427,5108,10.6071299712371
"500861",427,5107,10.5645351645577
"500862",428,5107,10.6696937959824
"500863",428,5106,10.6268477531978
"500864",428,5105,10.584173766277
"500865",428,5104,10.5416711442993
"500866",429,5104,10.646602188893
"500867",472,5104,5.75465239453018
"500868",473,5104,5.81918421773752
"500869",428,5103,10.4993391991183
"500870",429,5103,10.6038488745413
"500871",465,5103,6.78091705591115
"500872",471,5103,5.79583079798279
"500873",472,5103,5.64616513585744
"500874",473,5103,5.64699719015478
"500875",474,5103,5.71032178377816
"500876",475,5103,5.77435649005478
"500877",476,5103,5.8391092720832
"500878",428,5102,10.4571772453513
"500879",429,5102,10.561267243686
"500880",465,5102,6.78488431632032
"500881",466,5102,6.59286773714551
"500882",470,5102,5.91433175456119
"500883",471,5102,5.76160604379967
"500884",472,5102,5.61282416704942
"500885",473,5102,5.47990509879651
"500886",474,5102,5.54135594635155
"500887",475,5102,5.60349589464779
"500888",476,5102,5.66633267115929
"500889",477,5102,5.72987409001489
"500890",428,5101,10.4151846003675
"500891",429,5101,10.5188566069017
"500892",430,5101,10.6235605572132
"500893",465,5101,6.79641655664284
"500894",466,5101,6.60407360766809
"500895",467,5101,6.41717408755205
"500896",468,5101,6.23556394376566
"500897",469,5101,6.05909348356524
"500898",470,5101,5.8876172506078
"500899",471,5101,5.72758338899448
"500900",472,5101,5.57968007880978
"500901",473,5101,5.43559607384998
"500902",474,5101,5.37738973159041
"500903",475,5101,5.43769098693744
"500904",476,5101,5.49866845166819
"500905",477,5101,5.56032970869496
"500906",478,5101,5.80011859288687
"500907",429,5100,10.4766162775312
"500908",430,5100,10.5808997706093
"500909",462,5100,7.42030545374274
"500910",464,5100,7.00624976156555
"500911",465,5100,6.80796839826742
"500912",466,5100,6.61529852476329
"500913",467,5100,6.42808133229182
"500914",468,5100,6.24616250648146
"500915",469,5100,6.06939210015639
"500916",470,5100,5.89762440974207
"500917",471,5100,5.73071785516861
"500918",472,5100,5.56853486317292
"500919",473,5100,5.41094175390351
"500920",474,5100,5.26396405779179
"500921",475,5100,5.27679217141271
"500922",476,5100,5.57532039070403
