"","yr","UTM_E_km","UTM_N_km","est"
"1",1999,460.599,5086.617,4.21407421633753
"2",2002,460.599,5086.617,5.87381242007044
"3",2001,429.222,4998.981,5.66162279819771
"4",2001,429.763,4998.083,5.80701386250474
"5",2001,430.227,4997.347,5.18875709714618
"6",2001,431.317,4996.373,4.84077206292444
"7",2001,432.964,4995.886,4.32994240382695
"8",2001,439.087,4994.496,6.60620408642984
"9",2001,429.515,5004.152,4.65740744495562
"10",2001,431.457,5009.335,4.34685820101125
"11",2001,433.394,5006.915,4.4804224053042
"12",2001,434.787,5004.841,5.01066862881046
"13",2001,436.803,5002.263,5.4816537076714
"14",2001,439.793,5019.124,6.76050704081771
"15",2001,437.226,5013.191,4.55306943970578
"16",2001,440.993,5013.263,5.78703488251208
"17",2001,440.534,5014.576,4.70593240497489
"18",2001,447.855,5017.8,7.14934777899325
"19",2001,444.53,5014.12,4.92574895630312
"20",2001,447.731,5012.245,5.20354140805627
"21",2001,448.193,5011.196,5.2163483439342
"22",2001,446.85,5010.18,6.16690085092644
"23",2001,448.35,5011.167,5.20006297882388
"24",2001,449.272,5008.658,6.61270823416935
"25",2001,448.009,5007.956,6.15693109100658
"26",2001,454.088,5012.485,6.65518936107412
"27",2001,455.191,5013.129,7.00750800862992
"28",2001,457.317,5014.297,5.70025026776279
"29",2001,460.381,5015.089,7.5251658390542
"30",2001,436.81,4995.034,5.88984434155558
"31",2001,437.077,5014.014,4.24015027588103
"32",2002,458.894,5014.151,7.58279557289574
"33",2002,456.625,5013.927,6.88912890236686
"34",2002,454.565,5012.643,6.71319647345252
"35",2019,426.784,5090.809,2.42798567934448
"36",2020,426.784,5090.809,2.69746824502057
"37",2015,426.787,5090.8,2.30080608146134
"38",2016,426.787,5090.8,2.10728616643495
"39",2017,426.787,5090.8,2.45602561034694
"40",2018,426.787,5090.8,2.88308490969282
"41",2000,426.784,5090.809,2.48705998521999
"42",2001,426.784,5090.809,2.92406099061036
"43",2003,426.784,5090.809,2.82031399881506
"44",2004,426.784,5090.809,2.9706741553843
"45",2005,426.784,5090.809,2.98524846960606
"46",2006,426.784,5090.809,3.59057237548598
"47",2007,426.784,5090.809,3.35490144337868
"48",2008,426.784,5090.809,1.77560873683399
"49",2009,426.784,5090.809,3.0266388231043
"50",2010,426.784,5090.809,2.8540605084262
"51",2011,426.784,5090.809,2.8454817313147
"52",2012,426.784,5090.809,2.43438262223177
"53",2013,426.784,5090.809,2.70262618883021
"54",2014,426.784,5090.809,2.21309879042453
"55",2016,484.444,5093.265,3.14772855986285
"56",2017,484.444,5093.265,3.69303574781065
"57",2018,484.444,5093.265,4.08914419763009
"58",2020,484.444,5093.265,3.78241323106198
"59",2019,434.578,5057.7,5.62367052295064
"60",2016,434.578,5057.7,5.31294469864934
"61",2018,434.578,5057.7,5.960039692921
"62",1998,434.578,5057.7,4.91932853702435
"63",2000,434.578,5057.7,5.71525596500743
"64",2001,434.578,5057.7,6.19318337754279
"65",2002,434.578,5057.7,5.8339771191559
"66",2003,434.578,5057.7,6.08102981581668
"67",2004,434.578,5057.7,6.13433470828566
"68",2005,434.578,5057.7,6.05120454816881
"69",2006,434.578,5057.7,6.64544544785229
"70",2007,434.578,5057.7,6.59946610612257
"71",2008,434.578,5057.7,5.01561715403766
"72",2009,434.578,5057.7,6.20956248216866
"73",2010,434.578,5057.7,6.0162678426728
