"","yr","UTM_E_km","UTM_N_km","est"
"1",2005,430.395,5095.64,3.17861152032616
"2",2009,430.395,5095.64,4.09101582818971
"3",2012,430.395,5095.64,3.5474699709562
"4",1998,430.486,5091.933,1.50971569051844
"5",2005,429.655,5092.29,2.87138212692871
"6",2011,430.486,5091.933,2.90054053393458
"7",2012,430.486,5091.933,2.64704563435641
"8",2005,426.809,5090.828,2.96079943279683
"9",2006,426.809,5090.828,1.99240355054217
"10",2007,426.809,5090.828,2.12049243932466
"11",2009,426.809,5090.828,3.75778629687584
"12",2010,426.809,5090.828,3.58554889117508
"13",2011,426.809,5090.828,2.9788616137914
"14",2012,426.809,5090.828,2.16121768385361
"15",2013,426.809,5090.828,2.16038613277631
"16",2015,426.809,5090.828,1.89346046590592
"17",2016,426.784,5090.809,2.2552122737658
"18",2017,426.784,5090.809,1.75196954726836
"19",2018,426.784,5090.809,1.06818284333571
"20",2019,426.784,5090.809,1.90929374018602
"21",2020,426.809,5090.828,1.98556810597199
"22",1998,428.603,5090.739,1.99539433317722
"23",2016,428.603,5090.739,2.54430046260619
"24",2010,429.973,5090.303,3.89285852619229
"25",2013,429.973,5090.303,2.5390768651235
"26",2001,430.061,5090.3,4.03387689065721
"27",2006,430.061,5090.3,2.40354871953345
"28",2015,429.973,5090.303,2.21792631716696
"29",2016,429.973,5090.303,2.31488898765616
"30",2017,429.973,5090.303,1.94168207854684
"31",2018,429.973,5090.303,1.23653728962266
"32",2019,429.973,5090.303,2.09397885309125
"33",1999,429.168,5089.774,1.66661368955504
"34",2008,429.168,5089.774,2.61483874642101
"35",2009,428.946,5089.86,3.94423814277228
"36",2012,428.946,5089.86,2.3077206652096
"37",2015,428.946,5089.86,2.04584057630239
"38",2009,429.347,5089.473,3.81848622094406
"39",2015,427.799,5089.879,2.06541622192369
"40",2018,427.799,5089.879,1.1150047793328
"41",2009,428.191,5088.15,4.04361952578525
"42",2012,428.111,5088.608,2.11646791842367
"43",2015,428.072,5088.832,2.00875062572457
"44",2016,428.072,5088.832,2.39245695988489
"45",2017,428.072,5088.832,1.84771937682544
"46",2018,428.191,5088.15,1.28845559169067
"47",1998,427.79,5086.083,2.02135166128152
"48",1999,427.79,5086.083,2.00415865767647
"49",2000,427.79,5086.083,1.78785056142079
"50",2001,427.79,5086.083,4.28424507708419
"51",2002,427.79,5086.083,2.7516278098689
"52",2003,427.79,5086.083,3.13687698684294
"53",2004,427.79,5086.083,3.59130240785021
"54",2005,427.79,5086.083,3.26957363541504
"55",2006,427.79,5086.083,2.44457316578152
"56",2007,427.79,5086.083,2.62256938635169
"57",2008,427.79,5086.083,2.95040354087299
"58",2009,427.79,5086.083,4.06417737443631
"59",2010,427.79,5086.083,4.274966407834
"60",2011,427.79,5086.083,3.45436771752452
"61",2012,427.79,5086.083,1.66730975234372
"62",2013,427.79,5086.083,2.46195305416488
"63",2015,427.79,5086.083,2.18430098751706
"64",2016,427.79,5086.083,2.53116319809946
"65",2017,427.79,5086.083,2.03906063097794
"66",2018,427.79,5086.083,1.40811471537494
"67",2019,427.79,5086.083,2.29848987757747
"68",2020,428.081,5086.716,2.24930145892715
"69",2006,427.06,5085.956,2.0880202826498
"70",2015,426.729,5086.118,1.77661201473496
"71",2016,427.06,5085.956,2.22320225950734
"72",2017,426.729,5086.118,1.67883856451444
"73",2018,426.729,5086.118,1.06075908264259
"74",2019,427.06,5085.956,1.96287912173401
"75",2020,427.06,5085.956,1.96814417030959
"76",1999,429.062,5087.935,1.66601261590836
"77",2002,429.062,5087.935,2.67493242303495
"78",2005,429.062,5087.935,2.99223950267437
"79",2007,429.298,5087.828,2.20189540279694
"80",2008,429.062,5087.935,2.59056322131903
"81",2011,429.062,5087.935,3.16901785327793
"82",2017,429.062,5087.935,1.77596129160668
"83",2000,431.982,5087.347,1.3206656984476
"84",2013,431.475,5086.489,1.89879102462958
"85",2004,429.49,5084.577,3.39971695351311
"86",2018,429.917,5084.55,1.28763891561012
"87",2015,430.801,5085.474,2.35187271748167
"88",2019,431.486,5084.636,2.19102374287968
"89",2008,431.926,5084.68,2.74795411651411
"90",2009,432.473,5085.062,4.05775359684623
"91",2010,432.473,5085.062,4.37201021261887
"92",2011,432.473,5085.062,3.61541374569345
"93",2012,432.278,5084.918,2.14335490949694
"94",2013,432.473,5085.062,2.71513461711016
"95",2017,431.926,5084.68,2.1199317325041
"96",2009,433.664,5085.854,3.84297564412818
"97",2018,433.664,5085.854,1.26259758963696
"98",1999,433.441,5085.656,1.72073893758678
"99",1999,433.666,5087.481,1.86151023546112
"100",2001,434.394,5088.017,3.92673255782798
"101",2008,433.666,5087.481,2.44176300781753
"102",2011,433.675,5087.056,3.39134932935284
"103",2006,434.394,5088.017,2.76209933209323
"104",2010,434.394,5088.017,4.32545524316384
"105",2013,434.394,5088.017,2.83599634354922
"106",2003,431.24,5083.002,2.38204042024705
"107",2001,432.675,5083.487,3.80059793411383
"108",2006,432.675,5083.487,2.33390457132952
"109",2007,432.675,5083.487,2.11926126890923
"110",1999,434.196,5082.974,2.06593559993074
"111",2000,434.319,5083.287,1.78833383771369
"112",2002,434.196,5082.974,3.36457790154255
"113",2005,434.196,5082.974,2.95346354272828
"114",2006,434.196,5082.974,2.51127108675452
"115",2009,434.319,5083.287,3.82934816786741
"116",2017,434.196,5082.974,1.91809288418252
"117",2018,434.319,5083.287,1.35463407356902
"118",2020,434.319,5083.287,2.11917253509292
